anchor,positive,negative
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?","the IRON LADY ; A Biography of Margaret Thatcher by Hugo Young -LRB- Farrar , Straus & Giroux -RRB-","One of Qintex 's most visible assets remains the Dana Point resort project in Orange County , which an official described as a top priority now that the MGM/UA deal has collapsed ."
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?","the IRON LADY ; A Biography of Margaret Thatcher by Hugo Young -LRB- Farrar , Straus & Giroux -RRB-","Thus when it sent the message that the Northern Fleet 's command post received at <num> , the submarine 's leadership already believed that the ship was doomed ."
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?","the IRON LADY ; A Biography of Margaret Thatcher by Hugo Young -LRB- Farrar , Straus & Giroux -RRB-",Agricultural output and the number of related workers will drop considerably .
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?","the IRON LADY ; A Biography of Margaret Thatcher by Hugo Young -LRB- Farrar , Straus & Giroux -RRB-",It was not until the submarine 's trim equalized that Captain 3d Rank Yudin and Warrant Officer Chernikov were able to drag Warrant Officer Slyusarenko into the chamber .
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?","the IRON LADY ; A Biography of Margaret Thatcher by Hugo Young -LRB- Farrar , Straus & Giroux -RRB-","The pilot , Chief Warrant Officer Bobby Hall , crossed the border at Panmunjom into South Korea ."
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?","in this same revisionist mold , Hugo Young , the distinguished British journalist , has performed a brilliant dissection of the notion of Thatcher as a conservative icon .",Does it make sense to use a window unit even if I have central air conditioning ?
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?","in this same revisionist mold , Hugo Young , the distinguished British journalist , has performed a brilliant dissection of the notion of Thatcher as a conservative icon .",The Bundesbank argues that its attachment to D -Mark M3 reflects the solid empirical relationship between monetary expansion and inflation some three years later .
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?","in this same revisionist mold , Hugo Young , the distinguished British journalist , has performed a brilliant dissection of the notion of Thatcher as a conservative icon .",Others insisted on dismembering the Komsomolets with a view to coaxing each part out of the watery depths separately .
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?","in this same revisionist mold , Hugo Young , the distinguished British journalist , has performed a brilliant dissection of the notion of Thatcher as a conservative icon .",Gehrig was <num> in <num> .
"Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?","in this same revisionist mold , Hugo Young , the distinguished British journalist , has performed a brilliant dissection of the notion of Thatcher as a conservative icon .",The Russian government was said to have made a decision to appropriate the funds .
