sentence1,sentence2,similarity_score
A woman puts make-up on.,A woman is putting on eyeshadow.,3.3329999446868896
Scientists prove there is water on Mars,Has Nasa discovered water on Mars?,2.0
Ban Ki-moon to Review Syria Chemical Arms Accord,Ban to review Syria chemical arms accord,3.5999999046325684
"the 5 permanent united nations security council members are britain, china, france, russia and the united states.","p5+1 members are britain, china, france, russia, germany and the united states.",3.5999999046325684
Japan PM calls for quicker tsunami waste processing,Japan marks one year since quake and tsunami disaster,1.0
Tropical Storm Karen targets US Gulf Coast,Tropical Storm Karen poised to make landfall,3.799999952316284
"Under NASD regulations, Mr. Young can file a response and request a hearing before an NASD panel.","The analyst, already let go by Merrill, can request a hearing before a NASD panel.",3.0
Iran leader Rouhani says nuclear deal with U.S. possible within ¿three months¿,Iran President Hassan Rouhani wants nuclear deal in months,3.200000047683716
Hezbollah confirms it sent drone downed over Israel,Hezbollah says it sent drone over Israel,3.400000095367432
I oppose the death penalty.,This is why I support the death penalty.,1.0
A black dog jumps through the water.,A dog walks through the snow.,2.400000095367432
"In 2001 and 2002, wire transfers from 4 of the company's 40 accounts totaled more than $3.2 billion, prosecutors said.","Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.",3.799999952316284
Major fire breaks out in JK secretariat in Srinagar,Fire breaks out near secretariat in Srinagar,4.599999904632568
If evidence is not provided to support a position; then it should be rejected.,If a position is unverifiable; then it should be rejected.,4.800000190734863
"Some studies suggest open-space environments lower working efficiency with 2-10% due to interruptions, stress and noise.",There's an iPhone app called Groups which might be helpful.,0.0
Cyclone leaves trail of destruction in India,Cyclone Phailin evacuation kept Indian villagers alive,2.400000095367432
The man is seasoning the sausages.,The man added seasoning to water in a bowl.,2.400000095367432
"Second comes HP (27 percent with $2.9 billion, up just 0.4 percent).",HP fell to second place with server sales growing 0.4 percent to $2.9 billion.,4.400000095367432
Eurozone unemployment stays at record 11 percent,Eurozone unemployment at record high in June,3.0
Murder claim over Diana's death New information which has been passed to the police relating to the deaths of Princess Diana and Dodi Fayed is thought to include an allegation that they were murdered,Diana and Fayed death info received new The deaths of Princess Diana and Dodi Al Fayed are being looked at again by police after they received information.,3.5
Teenager and father killed in crash,Three killed in horror crash are named,1.600000023841858
China strives to avoid economic traps,Insurance is key to fostering economic growth,1.0
Hong Kong stocks end higher,Indian stocks open higher,0.6000000238418579
"The civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000.","The civilian unemployment rate improved marginally last month _ sliding down to 6.1 percent _ as companies slashed payrolls by 93,000 amid continuing mixed signals about the nation's economic health.",4.0
"Along with chipmaker Intel, the companies include Sony Corp., Microsoft Corp., Hewlett-Packard Co., IBM Corp., Gateway Inc. and Nokia Corp.","Along with chip maker Intel, the companies include Sony, Microsoft, Hewlett-Packard, International Business Machines, Gateway, Nokia and others.",4.800000190734863
A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.,There are two white dogs and one brown dog chasing a ball.,2.799999952316284
Men are playing soccer.,Two teams play soccer.,3.0
A woman is eating something.,A woman is eating meat.,3.0
A black and white photo of a bottle sitting atop a rock carving in front of a line of bushes.,A bottle of water sitting on a stone with other stones and a wall in the background.,2.0
A small bird perched on an icy branch.,A yellow bird perched on a branch.,3.200000047683716
a young girl smiling with her head upside down,A girl poses with her head upside down.,4.599999904632568
a man wearing a grey jacket standing on the side of a street.,A boy wearing a blue life jacket is holding onto the side of a green boat.,0.6000000238418579
Santorum's 3-year-old daughter hospitalized,'Kony 2012' director hospitalized,0.6000000238418579
bombing occurred in afghanistan as attacks by anti-government insurgents increase in recent days.,a bombing occurred in afghanistan but police have not yet stated who is responsible.,2.5999999046325684
"A living room with table, chair and sofa alongside a large palm.","A living room with a blue sofa, camp bed, wooden bench and dresser.",2.400000095367432
Someone is seasoning eggs.,Someone is seasoning two raw eggs in a bowl.,3.5999999046325684
Police launched an international hunt for Shevaun Pennington after she ran away with 31-year-old Toby Studabaker Saturday.,Shevaun Pennington disappeared on Saturday morning after arranging to meet 31-year-old Toby Studabaker.,3.0
